gender,age_group,institute_name,residential_area,percentage_10th,percentage_12th,cgpa,backlog,attended_nursery,reason_college,engineering_branch,reason_course,mother_education_status,mother_job_status,father_education_status,father_job_status,guardian,family_size,parental_relationship_status,family_relationship_quality,family_income,internet_access_home,transport_mode,travel_time,daily_study_time,extracurricular_courses,attended_workshops,community_service,communication_skills,leadership_skills,teamwork_skills,internships_completed,projects_completed,peer_group_quality,time_management,health_status,stress_frequency,stress_coping_mechanisms,hobbies_interests,friends_outing_frequency,romantic_relationship,family_motivation,paid_classes,placement_status,higher_education_interest,alcohol_consumption,smoking,other_addictions,internship_payment_status,PC1,PC2,PC3,PC4,PC5
1,2,9,1,299,302,270,0,1,1,89,3,4,2,4,1,1,1,1,1,2,0,3,0,2,1,1,0,2,1,1,0,0,3,3,1,3,1,60,4,0,1,0,46,1,0,0,0,64,-0.7410329875499893,-1.5453442661045511,0.9556695088763411,-1.59177807393684,-1.2015986570525927
0,2,9,1,126,136,127,0,1,1,90,3,4,2,4,1,1,1,0,1,0,1,3,2,2,1,1,1,2,1,1,0,1,2,3,2,4,0,535,3,0,2,1,46,1,0,0,0,64,-1.0739068535935212,-1.709855283216805,-0.2039832660507803,-0.11809929308158142,-1.2629321486693772
0,2,87,1,301,137,84,0,1,1,90,3,0,2,2,0,1,0,1,1,0,0,2,1,0,1,1,0,2,3,1,0,0,2,2,1,2,1,505,4,0,1,0,46,1,0,0,0,64,-1.128741325030186,-0.28538645085042674,0.32589944909348917,-2.051124081760163,-1.7398008185718308
0,2,9,1,124,417,274,0,1,1,43,3,0,2,2,1,2,1,1,1,2,1,2,2,0,1,1,1,2,2,2,0,1,1,2,1,3,1,306,3,0,2,0,46,1,0,0,0,64,-2.037270072771498,-1.714874849866102,0.7280413415353418,-1.5566367277261843,0.018477167810350255
1,2,9,0,224,320,212,0,0,3,100,3,0,3,0,3,1,1,0,1,2,0,3,0,2,1,1,1,2,1,1,0,1,1,3,1,3,0,301,4,0,2,0,43,1,0,0,1,64,-1.5584290928908295,1.7144418354077422,3.20668540378531,-0.4690304319195783,0.43203421710154355
0,2,41,1,275,349,245,0,1,1,89,3,4,3,4,1,2,1,1,1,0,1,2,3,2,1,1,0,3,3,2,0,1,1,3,1,3,1,460,4,0,2,0,46,1,0,0,0,64,-0.7828525903005763,-3.4611458463594347,0.16353207670911185,-1.1998006168109043,-0.15805269514178888
1,2,106,1,191,381,285,0,0,1,105,0,0,2,4,1,2,1,1,5,0,1,3,0,2,0,0,0,2,2,1,0,1,4,3,2,4,0,809,3,0,2,0,46,1,0,0,0,64,1.5960316289921879,-0.3015237487927185,0.40395506297936284,-1.1687816476764186,0.19467041309468808
0,2,106,1,193,191,124,0,1,1,100,0,2,4,2,0,1,1,1,1,3,1,3,2,1,1,1,0,3,3,2,0,1,2,2,2,3,1,110,2,0,2,0,67,1,0,0,0,64,-0.06669416653117172,-1.3589234899955416,-0.0022140546192061144,-1.4478658731153833,-0.5814413958214024
0,2,9,1,220,266,124,0,1,3,85,0,2,3,4,1,2,1,1,1,4,1,3,3,0,1,1,0,3,3,2,0,1,3,2,2,3,1,463,2,0,2,0,67,1,1,0,0,64,0.8021286642234362,-2.5945071217484745,3.4683590662760273,0.49344343778326105,-1.0678588290180204
1,2,84,1,119,265,104,0,1,3,90,0,4,2,2,3,1,0,1,5,4,1,3,2,3,1,0,0,3,3,5,0,0,1,4,1,1,0,495,5,0,2,1,66,1,0,0,0,64,2.0236312432933996,-0.5431222670471725,-0.7214613155392385,0.38855293574501726,1.4568373836499966
1,2,106,0,35,89,36,1,1,1,99,3,0,2,0,1,1,0,1,3,4,1,3,2,1,0,0,0,2,2,1,0,1,2,1,1,3,1,281,5,0,2,1,46,1,0,0,1,64,-0.08229964497040561,2.291729692758306,1.9451545100422591,2.2318384555291617,-2.052047470381378
1,2,106,0,10,259,84,0,1,3,100,3,4,4,4,1,1,1,1,1,2,1,3,3,2,1,1,1,2,1,2,0,1,1,2,1,2,0,862,4,0,2,0,68,1,0,0,0,64,-2.157188598365598,-0.7991345707604198,-1.139330248136344,1.3221704641039866,0.15058418336778107
1,2,107,1,177,202,196,0,1,1,100,0,1,2,0,0,1,1,1,1,2,1,3,0,0,1,0,1,2,2,1,0,1,2,2,2,3,1,768,4,0,1,0,46,1,0,0,0,64,-0.7939087794521391,-0.49256452708121773,0.2830527661857251,-0.677375255266896,-0.6414742293282505
1,2,116,1,286,262,88,1,1,3,100,3,2,2,2,4,1,0,0,5,0,1,3,1,2,0,1,1,2,1,3,1,1,2,2,1,2,1,191,5,0,1,0,46,1,0,0,0,64,-0.3332562160065504,-0.7836242574046745,-0.020552736200489353,0.8076439612708183,0.5624266332069484
0,2,162,1,187,246,195,0,1,1,102,3,2,2,0,2,1,1,1,3,2,1,3,0,0,0,1,1,2,1,1,0,1,2,2,3,1,1,785,1,0,2,0,46,1,0,0,0,64,-1.2867350369976072,-0.6221301199168033,0.8173633639789389,-1.7453812269067295,-0.46896444284588634
1,2,165,1,264,16,191,0,1,1,86,3,4,2,4,0,0,1,0,2,2,1,0,1,2,0,1,1,4,5,3,0,1,4,3,3,2,0,529,3,0,1,0,46,1,0,0,0,64,3.196855522791905,-0.550207542811644,-0.6224147803693721,-0.7486268302812128,-0.46818268850882105
1,2,10,0,62,157,100,0,0,3,102,3,0,2,0,4,1,0,0,1,0,1,3,2,0,1,1,0,1,1,1,0,1,1,2,2,2,0,438,3,0,2,0,46,1,0,0,0,64,-2.1301867404267636,1.5998919426193121,0.20030429421110058,0.14429689352864183,0.31377990032509695
0,2,10,1,244,244,199,0,1,1,90,3,3,2,4,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,3,1,161,3,0,2,0,46,1,0,0,0,64,-2.9442523845102384,-1.8458680746205098,0.5738564913759366,-1.2223205014217666,-1.8692678093140442
0,2,9,1,322,360,286,0,1,1,90,3,3,2,2,4,1,0,1,1,4,1,2,1,0,1,1,0,1,1,1,0,1,1,1,1,3,1,673,3,0,2,0,46,1,0,0,0,64,-3.147616541420222,-1.7143778923111306,1.7495858663091488,-2.3457117566763563,-0.5658834216401859
1,2,82,1,236,157,90,0,1,1,97,3,2,4,2,0,0,0,0,2,0,1,3,2,1,1,0,0,5,2,1,0,1,3,4,4,4,0,355,2,0,2,0,46,1,0,0,0,64,2.5607031475060684,-0.9641396220454369,-0.2887628790450825,-0.7380236867720402,-0.6819345656235037
0,2,106,1,169,136,189,0,1,3,86,0,2,4,4,3,1,1,1,2,3,1,3,0,2,0,1,0,3,3,3,1,1,2,3,3,3,1,564,3,0,1,0,46,1,0,0,0,64,1.3069345837033906,-1.392501300567341,0.37261795187550245,-0.915725428536784,0.3532319964207268
1,2,10,1,161,339,155,0,0,1,90,0,3,2,0,2,1,1,0,1,2,1,3,2,2,1,0,0,3,3,1,0,1,2,3,2,4,1,438,5,0,2,0,46,1,0,0,0,64,0.6297658277199782,-0.48698639959384765,0.5124860265954135,-0.28385823086031725,0.839202553736324
1,2,96,1,83,178,349,1,1,1,45,3,4,0,2,0,1,0,1,5,0,1,3,0,0,1,1,1,5,4,5,1,1,5,4,5,2,0,432,3,0,2,1,49,1,0,0,0,64,4.883406833488221,-1.5491266450170391,-1.307134020467459,-1.2542141290013233,1.7945637374362466
0,2,42,1,300,216,152,0,1,3,86,3,2,2,2,3,1,1,1,5,3,1,3,2,1,1,0,0,3,2,2,0,1,1,3,3,4,1,165,3,1,1,0,46,1,0,0,0,64,1.1620634470619842,-2.088393128825172,1.0004940387198797,-0.6047269051789402,0.2192499831271933
0,2,84,0,320,380,303,0,1,3,100,3,0,2,4,1,1,0,1,1,2,1,3,0,0,1,1,0,2,2,2,0,1,2,2,2,4,1,164,3,0,2,0,46,1,0,0,0,64,-1.0849013135326848,-1.5729390653481135,1.643647638393814,-3.001584226778402,-0.28197422916962955
0,2,107,1,83,204,141,0,1,3,102,3,4,2,2,1,0,1,1,1,0,1,3,2,2,1,1,0,3,3,2,0,0,2,3,2,3,0,788,3,0,2,0,46,1,0,0,0,64,0.42888333182437494,-1.2870439506640423,-0.8085854299245047,-0.52252328250537,-0.7123887102615818
0,2,48,1,269,338,281,0,1,0,90,3,4,4,0,1,2,1,1,1,0,1,2,2,2,0,0,0,2,2,2,0,1,3,3,1,1,1,653,2,0,2,0,46,0,0,0,0,64,-0.3474935432638169,-1.7625457682778114,1.1638312009421514,-1.119005608262298,-0.0871452488008942
1,2,74,0,245,94,201,0,1,3,87,3,2,4,0,3,1,0,1,1,0,1,3,0,1,1,1,1,4,3,3,1,1,3,5,5,4,0,237,5,0,2,1,93,1,0,0,0,64,2.4667623838641375,-1.845727093451499,0.06673336781840254,-1.1130274520498524,1.788780243838657
1,2,86,0,137,295,317,0,1,1,90,3,3,2,0,2,1,1,1,1,2,0,3,0,0,0,0,1,3,2,1,0,1,1,2,2,3,0,794,2,0,0,0,46,1,0,0,1,64,0.18030745591361777,2.3320037767303363,3.2315151046081674,-0.5390612901032477,-0.8452287929883098
1,2,89,1,300,171,307,0,0,1,53,3,0,2,4,2,0,0,1,5,2,0,0,3,0,0,0,0,1,1,5,0,0,5,5,2,5,0,491,3,0,2,1,46,1,0,0,0,64,3.4236634571571725,0.35302524301798954,1.0260329864798419,-1.8558749814582298,-0.46046570118059094
